finalserialno,region,Constit_Code,Constit_Name,Interview_Date,total_num_dwel,total_num_hous,num_elig_people,turnoutValidationReg,Age,a01,a02,a03,e01,k01,k02,k03,k11,k13,k06,k08,y01,y03,y06,y07,y08,y09,y11,y17,y18
19215,Eastern,South West,E14000951,18/07/2017,1,1,3,Voted,82.0,"Housing - for young people, it's a sad thing that many of them will never own their own house, even renting is a problem",Conservatives,Fairly interested,7,8,Yes,Times,Yes,No,No,No,"GBP 50,000 - GBP 59,999",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
19216,Eastern,South West,E14000951,25/07/2017,1,1,2,Voted,66.0,I think it's more the economy and I think it's linked to Brexit.,None/No party,Fairly interested,3,6,Yes,Guardian/Observer,No,Yes,No,No,"GBP 26,000 - GBP 31,199",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
19219,Eastern,South West,E14000951,19/07/2017,1,1,2,Voted,57.0,The NHS - top management get all the money and nurses etc receive little and the hospital car parks privately run should go towards the hospitals.,None/No party,Fairly interested,5,0 Pay no attention,No,,No,Yes,No,No,Don`t know,Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Not working because temporarily sick or injured,Yes
19222,Eastern,South West,E14000951,02/08/2017,1,1,2,Voted,60.0,NHS - I just think we're inunated with more people using a service when more resources need to go into that service to meet that demand and I think that's partly due to our ageing population,None/No party,Fairly interested,4,8,Yes,Times,No,Yes,No,Yes,"GBP 100,000 or more",Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
19223,Eastern,South West,E14000951,02/08/2017,1,1,2,Voted,31.0,I'm most concerned about the NHS - just concerns of where it's heading and losing something whcih can be great as it's running into the ground a bit and if it goes the future it's a dark one especially for the middle classes.,Labour,Fairly interested,5,5,No,,No,Yes,No,Yes,"GBP 75,000 - GBP 99,999",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
19710,Eastern,Suffolk Co,E14000981,18/07/2017,1,1,1,Voted,56.0,"Brexit.The actual process, I feel like we are limbo it is taking so long. I would like them to get on with it.I am pro Brexit and I want to see how it is going to be afterwards. I am quite excited about it.",Conservatives,Fairly interested,7,7,No,,No,Yes,No,Yes,"GBP 45,000 - GBP 49,999",Own home outright,Baptist,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
19718,Eastern,Suffolk Co,E14000981,23/09/2017,1,1,1,Voted,57.0,brexit. P) the uncertainty of it all.,Labour,Fairly interested,0 Left,6,Yes,Mirror/Record,No,Yes,No,Yes,"GBP 36,400 - GBP 39,999",Rented from local authority,No religion,,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
19719,Eastern,Suffolk Co,E14000981,19/09/2017,1,1,2,,41.0,"immigrants. P) too many of them in the country now, so there's not work for other people.",United Kingdom Independence Party (UKIP),Not very interested,Don`t know,6,No,,No,No,No,No,"GBP 20,800 - GBP 25,999",Rented from local authority,Christian - no denomination,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
19721,Eastern,Suffolk Co,E14000981,06/07/2017,1,1,1,Voted,84.0,Economic production growth. Listening to the news we are way behind the other countries at the moment.,Conservatives,Not very interested,8,5,Yes,Mail,Yes,Yes,No,No,"GBP 20,800 - GBP 25,999",Own home outright,Methodist,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
19722,Eastern,Suffolk Co,E14000981,04/07/2017,1,1,1,Voted,90.0,"the world seems to be upside down and nobody agrees with each other, everyone seems to e so greedy. The NHS is up the wall, everything is computerised and there is a majority of us who havent go computers in surgeries and things. everything",Conservatives,Not at all interested,10 Right,0 Pay no attention,No,,No,No,No,No,Don`t know,It belongs to a Housing Association,Church of England/ Anglican/Episcopal,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
19723,Eastern,Suffolk Co,E14000981,05/07/2017,1,1,1,Voted,72.0,"Education . I am very connerned about, particularly fees for university students.I think it is elitist to expect students to be able to have to pay off a loan over their earning lifetime.... while people who have money, that is no issue for",Labour,Fairly interested,3,8,No,,No,Yes,No,No,"GBP 15,600 - GBP 20,799",Own home outright,Methodist,Less often but at least twice a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
19815,Eastern,Suffolk Co,E14000981,11/07/2017,1,1,2,Voted,65.0,The deal we are going to get/not get with the EU regarding Brexit. The trade deals because Felixstowe is a port and this single market thing is throwing up all sorts of issues regarding trade for the UK,Conservatives,Very interested,6,8,No,,Yes,Yes,No,Yes,"GBP 26,000 - GBP 31,199",Own home outright,Methodist,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
19816,Eastern,Suffolk Co,E14000981,29/07/2017,1,1,2,,66.0,"Brexit. I think when we went to the referendum the parties didn't give the full information, it wasn't clear enough, they may have believed they were giving the full info but when it went to the vote i think we were all fairly clueless. I t",Conservatives,Fairly interested,7,7,No,,No,Yes,No,Yes,Don`t know,Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
19817,Eastern,Suffolk Co,E14000981,11/07/2017,1,1,2,Voted,59.0,Brexit. The whole idea i dont think it should be happening.....lies.,None/No party,Very interested,2,10 Pay a great deal of attention,Yes,Guardian/Observer,No,Yes,No,Yes,"GBP 45,000 - GBP 49,999",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Unemployed and actively seeking work,Yes
19820,Eastern,Suffolk Co,E14000981,05/07/2017,1,1,2,Voted,55.0,Brexit. I think people who are living here from Europe dont know whether they can stay here and there is economic uncertainty.,Don`t know,Fairly interested,3,5,Yes,Times,No,Yes,No,No,"GBP 60,000 - GBP 74,999",Own home on mortgage,Church of England/ Anglican/Episcopal,Less often but at least once in two weeks,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - self-employed (8-29 hours),
19823,Eastern,Suffolk Co,E14000981,19/09/2017,1,1,2,Voted,82.0,crime. P) there's just too much of it. You don't feel as safe walking down the street in some areas as you would have years ago,Don`t know,Very interested,8,8,Yes,Telegraph,Yes,Yes,No,No,"GBP 20,800 - GBP 25,999",Own home outright,Church of England/ Anglican/Episcopal,Less often but at least once a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
19919,Eastern,Thurrock,E14000995,27/07/2017,1,1,2,,32.0,brexit,Labour,Very interested,1,10 Pay a great deal of attention,No,,Yes,Yes,No,Yes,"GBP 36,400 - GBP 39,999",Own home on mortgage,Islam/Muslim,Once a week or more,No,Male,Bangladeshi,Working full time -  employee (30+ hours),
19922,Eastern,Thurrock,E14000995,11/07/2017,1,1,1,Voted,88.0,arguing over brexit ie in or out,Don`t know,Fairly interested,5,8,Yes,Any other regional paper,Yes,Yes,No,No,"GBP 15,600 - GBP 20,799",Own home outright,Church of England/ Anglican/Episcopal,Less often but at least once a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
19923,Eastern,Thurrock,E14000995,20/07/2017,1,1,2,Insufficient information,72.0,brexit,Conservatives,Fairly interested,5,7,Yes,Sun,Yes,No,No,No,"GBP 15,600 - GBP 20,799",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
19924,Eastern,Thurrock,E14000995,23/08/2017,1,1,1,Voted,29.0,the world and the way it hasgone,Conservatives,Very interested,5,10 Pay a great deal of attention,No,,Yes,No,Yes,Yes,"GBP 20,800 - GBP 25,999",Rented from local authority,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
19925,Eastern,Thurrock,E14000995,20/07/2017,1,1,2,Voted,59.0,imigrants,Labour,Not at all interested,Don`t know,7,No,,Yes,No,No,No,"GBP 15,600 - GBP 20,799",Rented from local authority,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
19926,Eastern,Thurrock,E14000995,20/07/2017,1,1,1,,30.0,terror attacks,Labour,Not very interested,Don`t know,1,No,,Yes,Yes,No,Yes,"GBP 10,400 - GBP 15,599",Rented from private landlord,Sikh,Less often but at least once a month,No,Female,Indian,Looking after the family or home,Yes
20001,Eastern,Thurrock,E14000995,11/07/2017,1,1,2,Not voted-registered,51.0,economy,Conservatives,Fairly interested,6,7,Yes,Mirror/Record,No,Yes,No,Yes,"GBP 60,000 - GBP 74,999",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
20020,Eastern,Thurrock,E14000995,04/09/2017,1,1,1,,38.0,jobs for children leaving school,None/No party,Not very interested,Don`t know,0 Pay no attention,No,,No,Yes,No,No,"GBP 26,000 - GBP 31,199",Own home on mortgage,Roman Catholic,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
20115,Eastern,Welwyn Hat,E14001027,21/07/2017,1,1,3,,43.0,TERRORISM,None/No party,Not at all interested,Don`t know,0 Pay no attention,No,,Yes,Yes,No,No,Don`t know,Rented from local authority,Jehovah witness,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - self-employed (8-29 hours),
20116,Eastern,Welwyn Hat,E14001027,19/07/2017,1,1,1,Voted,42.0,WHAT HAPPENS AFTER BREXIT?,Labour,Very interested,4,8,No,,No,Yes,No,No,"GBP 20,800 - GBP 25,999",Rented from local authority,No religion,,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
20119,Eastern,Welwyn Hat,E14001027,05/08/2017,1,1,2,,33.0,housing and to many people coming in,Labour,Fairly interested,4,4,No,,Don`t know,No,No,Yes,"GBP 20,800 - GBP 25,999",It belongs to a Housing Association,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
20120,Eastern,Welwyn Hat,E14001027,03/08/2017,1,1,2,Voted,44.0,Crime,None/No party,Fairly interested,2,10 Pay a great deal of attention,Yes,Metro,Don`t know,Yes,Yes,Yes,"GBP 20,800 - GBP 25,999",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
20202,Eastern,Welwyn Hat,E14001027,25/07/2017,1,1,1,Not voted-unregistered,74.0,IMMIGRATION,Conservatives,Very interested,10 Right,10 Pay a great deal of attention,Yes,Mail,No,No,No,No,"GBP 5,200 - GBP 10,399",Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
20216,Eastern,Welwyn Hat,E14001027,25/07/2017,1,1,1,,52.0,BREXIT,None/No party,Fairly interested,5,6,Yes,Telegraph,Yes,Yes,No,Yes,"GBP 36,400 - GBP 39,999",Own home on mortgage,Christian - no denomination,Once a week or more,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
20217,Eastern,Welwyn Hat,E14001027,20/08/2017,1,1,1,Voted,48.0,POLITICAL LEADERS HAVE LOST TOUCH WITH THE REALITIES OF THE PEOPLE,None/No party,Very interested,6,10 Pay a great deal of attention,Yes,Sun,No,Yes,No,No,"Under GBP 2,600",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
20218,Eastern,Welwyn Hat,E14001027,15/08/2017,1,1,2,,74.0,immigration,Conservatives,Very interested,10 Right,10 Pay a great deal of attention,Yes,Mail,Yes,Yes,No,No,"GBP 50,000 - GBP 59,999",Own home outright,Church of England/ Anglican/Episcopal,Less often,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
20219,Eastern,Welwyn Hat,E14001027,03/08/2017,1,1,2,Voted,72.0,IMMIGRATION,None/No party,Fairly interested,3,10 Pay a great deal of attention,Yes,Sun,No,Yes,No,No,"GBP 60,000 - GBP 74,999",Own home outright,Christian - no denomination,Less often,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
20221,Eastern,Welwyn Hat,E14001027,24/07/2017,1,1,5,Voted,58.0,NATIONAL HEALTH SERVICE  IS A DISGRACE,None/No party,Fairly interested,6,6,No,,Yes,Yes,No,No,"GBP 26,000 - GBP 31,199",Own home on mortgage,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time - self-employed (30+ hours),
20223,Eastern,Welwyn Hat,E14001027,07/08/2017,1,1,2,Voted,70.0,IMMIGRATION,Conservatives,Fairly interested,1,7,Yes,Mail,No,No,No,Yes,"Under GBP 2,600",Own home outright,Roman Catholic,Varies too much to say,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
20316,London,Bermondsey,E14000553,07/07/2017,1,1,4,,19.0,HOUSING -,Labour,Not very interested,2,4,Yes,Times,Yes,Yes,No,No,"GBP 10,400 - GBP 15,599",Own home on mortgage,Islam/Muslim,Once a week or more,No,Male,Pakistani,A full time student or pupil,No
20318,London,Bermondsey,E14000553,24/07/2017,1,1,2,,41.0,"ECONOMY - IT EFFECTS THE NHS, THE EDUCATION, SOCIAL FUNDING,SERVICES AND CARE",Liberal Democrats,Fairly interested,6,7,Yes,Times,Yes,Yes,Yes,No,"GBP 75,000 - GBP 99,999",Own home on mortgage,No religion,,Yes: trade union,Female,Indian,Working part time - employee (8-29 hours),
20324,London,Bermondsey,E14000553,12/07/2017,1,1,1,,68.0,IMMIGRATION - TOO MANY PEOPLE COMING HERE,Conservatives,Fairly interested,7,5,Yes,Sun,Yes,Yes,No,No,"GBP 5,200 - GBP 10,399",Rented from local authority,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
20325,London,Bermondsey,E14000553,30/08/2017,1,1,4,,28.0,ABILITY TO CLIMB THE SOCIAL LADDER (LIMITED OPPORTUNITIES FOR SOCIAL MOBILITY),None/No party,Very interested,3,8,No,,No,Yes,No,No,Don`t know,Rented from local authority,Islam/Muslim,Never or practically never,No,Female,African,Working full time -  employee (30+ hours),
20416,London,Bermondsey,E14000553,07/07/2017,1,1,2,,30.0,GLOBALISATION,Conservatives,Fairly interested,3,7,Yes,Other,Yes,Yes,No,Yes,"GBP 60,000 - GBP 74,999",Rented from private landlord,Christian - no denomination,Never or practically never,No,Female,Refused,Working full time -  employee (30+ hours),
20417,London,Bermondsey,E14000553,12/07/2017,1,1,5,,35.0,TERRORISM,Labour,Not very interested,4,3,Yes,Mail,Yes,Yes,No,Yes,"GBP 31,200 - GBP 36,399",Rented from local authority,Islam/Muslim,Never or practically never,No,Female,Bangladeshi,Working full time -  employee (30+ hours),
20516,London,Bexleyheat,E14000558,08/07/2017,1,1,1,Voted,86.0,"for people to help themselves, everyone expects something to be done them",Don`t know,Very interested,5,10 Pay a great deal of attention,Yes,Other,Yes,No,No,No,"GBP 10,400 - GBP 15,599",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
20518,London,Bexleyheat,E14000558,19/08/2017,1,1,2,Voted,44.0,wages - not enough wages - people dont payrises,Labour,Not very interested,6,5,No,,No,Yes,No,No,"Under GBP 2,600",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
20519,London,Bexleyheat,E14000558,12/08/2017,1,1,2,,35.0,financial crisis and the property market are not going up,Labour,Fairly interested,10 Right,2,No,,No,Yes,Yes,Yes,"GBP 60,000 - GBP 74,999",Own home on mortgage,Hindu,Once a week or more,No,Male,Indian,Working full time -  employee (30+ hours),
20522,London,Bexleyheat,E14000558,19/08/2017,1,1,4,Not voted-registered,28.0,i think it is the NHS,None/No party,Not at all interested,Don`t know,0 Pay no attention,No,,Don`t know,Don`t know,No,Yes,Don`t know,Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
20527,London,Bexleyheat,E14000558,20/07/2017,1,1,2,Voted,66.0,immigration or rather illigal,Conservatives,Fairly interested,7,7,Yes,Mail,No,Yes,Yes,Yes,"GBP 50,000 - GBP 59,999",Own home outright,Christian - no denomination,Less often,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
20625,London,Bexleyheat,E14000558,15/07/2017,1,1,2,Voted,54.0,"i think its the nhs, it is good but stretched to capacity.  my mum had a stroke and it was the day of the ambulance strike and they are just so stretched and the pay the nurses are paid is disgusting",Don`t know,Fairly interested,5,5,Yes,London Evening Standard,No,Yes,No,Yes,Don`t know,Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,No
20718,London,Brent Cent,E14000591,12/07/2017,1,1,2,Voted,51.0,NHS is going down,Labour,Very interested,5,10 Pay a great deal of attention,Yes,Telegraph,Yes,Yes,No,Yes,"GBP 10,400 - GBP 15,599",Own home on mortgage,Islam/Muslim,Never or practically never,No,Female,Pakistani,Working full time - self-employed (30+ hours),
20720,London,Brent Cent,E14000591,20/09/2017,1,1,3,Voted,23.0,BREXIT- NOT A GOOD IDEA AS WILL CAUSE A JOB CRISIS,Labour,Not very interested,6,1,Yes,Sun,Yes,Yes,Yes,No,Refused,Own home on mortgage,Christian - no denomination,Once a week or more,No,Male,Caribbean,Unemployed and actively seeking work,Yes
20726,London,Brent Cent,E14000591,19/09/2017,1,1,2,Not voted-unregistered,32.0,Brexit,Liberal Democrats,Not very interested,3,2,No,,Don`t know,Don`t know,No,Yes,Don`t know,Rented from private landlord,Islam/Muslim,Once a week or more,No,Male,Refused,A full time student or pupil,Yes
20808,London,Brent Cent,E14000591,03/08/2017,1,1,1,,64.0,the implications of Brexit,None/No party,Very interested,2,10 Pay a great deal of attention,Yes,Guardian/Observer,No,Yes,No,Yes,Refused,Own home outright,Jewish,Less often but at least once a year,Yes: trade union,Female,Refused,Working part time - self-employed (8-29 hours),
20818,London,Brent Cent,E14000591,23/08/2017,1,1,2,,82.0,the implications of Brexit,Don`t know,Very interested,5,5,No,,No,No,No,No,"GBP 15,600 - GBP 20,799",Own home outright,Roman Catholic,Less often but at least twice a year,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
20825,London,Brent Cent,E14000591,18/09/2017,1,1,1,,54.0,Terrorism,Don`t know,Fairly interested,1,3,Yes,Mail,No,Yes,No,Yes,Don`t know,Rented from local authority,Christian - no denomination,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Not working because long-term sick or disabled,Yes
20915,London,Brent Nort,E14000592,01/08/2017,1,1,1,,82.0,economy of the country,Labour,Fairly interested,5,4,Yes,Other,Yes,Yes,No,No,Refused,Own home outright,Hindu,Once a week or more,No,Male,Indian,Retired from paid work,Yes
20916,London,Brent Nort,E14000592,01/08/2017,1,1,3,,32.0,population,Conservatives,Fairly interested,4,3,No,,No,Yes,No,No,Refused,Own home outright,Hindu,Once a week or more,No,Male,Indian,Working full time -  employee (30+ hours),
20918,London,Brent Nort,E14000592,24/07/2017,1,1,5,,31.0,wages are not high enough in comparision of normal living standard,Labour,Fairly interested,5,10 Pay a great deal of attention,Yes,Metro,No,Yes,No,No,Refused,Own home on mortgage,Hindu,Varies too much to say,No,Female,Indian,Looking after the family or home,Yes
20920,London,Brent Nort,E14000592,17/09/2017,1,2,2,Voted,47.0,education,Labour,Fairly interested,10 Right,10 Pay a great deal of attention,No,,Don`t know,Don`t know,No,Yes,Refused,It belongs to a Housing Association,Islam/Muslim,Less often but at least twice a year,No,Male,Refused,Working full time -  employee (30+ hours),
20927,London,Brent Nort,E14000592,30/09/2017,1,2,2,,35.0,nhs,None/No party,Not very interested,6,1,Yes,Mail,Don`t know,No,No,Yes,Refused,Own home on mortgage,Roman Catholic,Less often but at least once a month,No,Male,Refused,Working full time - self-employed (30+ hours),
21016,London,Brent Nort,E14000592,24/09/2017,1,1,5,,,brexit,None/No party,Not very interested,2,2,Yes,Mail,No,Yes,No,No,Refused,Rented from private landlord,Hindu,Once a week or more,No,Male,Indian,Working full time - self-employed (30+ hours),
21017,London,Brent Nort,E14000592,17/09/2017,1,2,2,,,terrorism,None/No party,Fairly interested,Don`t know,5,No,,Yes,No,No,No,Refused,Own home on mortgage,Christian - no denomination,Less often but at least once a month,No,Female,White and Black Caribbean,Working full time -  employee (30+ hours),
21020,London,Brent Nort,E14000592,24/09/2017,1,2,2,,58.0,immigration,Conservatives,Fairly interested,7,6,Yes,Metro,No,Yes,No,No,Refused,Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
21021,London,Brent Nort,E14000592,24/09/2017,1,1,3,,20.0,brexit,Don`t know,Not very interested,Don`t know,4,No,,No,Yes,No,No,Refused,Rented from private landlord,Islam/Muslim,Less often,No,Female,Refused,A full time student or pupil,Yes
21023,London,Brent Nort,E14000592,05/08/2017,1,1,5,,30.0,benifits are not justify very well,Labour,Not at all interested,Don`t know,0 Pay no attention,No,,No,No,No,Yes,Refused,Rented from private landlord,Christian - no denomination,Less often but at least twice a year,No,Male,Any other White background,Working full time -  employee (30+ hours),
21025,London,Brent Nort,E14000592,05/08/2017,1,2,2,,71.0,brexit,Conservatives,Not very interested,6,8,Yes,Mirror/Record,Yes,Yes,No,No,Refused,Own home on mortgage,Hindu,Once a week or more,No,Male,Indian,Retired from paid work,Yes
21026,London,Brent Nort,E14000592,25/09/2017,1,2,2,Ineligible,33.0,road conditions,Liberal Democrats,Fairly interested,6,6,Yes,Guardian/Observer,Yes,Yes,No,Yes,Refused,Own home on mortgage,Christian - no denomination,Once a week or more,No,Male,Refused,Working full time -  employee (30+ hours),
21716,London,Cities of,E14000639,08/07/2017,1,1,1,,51.0,Terrorism & things; one thing thtas messed up everyones life,Conservatives,Fairly interested,4,6,Yes,Mail,Yes,No,No,Yes,"GBP 10,400 - GBP 15,599",Rented from local authority,No religion,,No,Male,White and Black African,Working full time -  employee (30+ hours),
21719,London,Cities of,E14000639,17/07/2017,1,1,2,Voted,70.0,"we are too generous, to start with; & then start tighening the belt afterwards; in alot of things. like NHS, Free dental treatment. they have got their sums wrong; now say not enough money",Conservatives,Fairly interested,7,4,Yes,Mail,No,Yes,No,No,"GBP 31,200 - GBP 36,399",Own home outright,No religion,,No,Female,Chinese,Retired from paid work,Yes
21721,London,Cities of,E14000639,11/07/2017,1,1,2,Voted,32.0,education; I dont think the kids are getting enough resources to get the right info.. & so they can easily get misled. think teachers are not using the right methods.,Labour,Fairly interested,2,3,Yes,Guardian/Observer,Yes,Yes,Yes,Yes,"GBP 60,000 - GBP 74,999",Rented from private landlord,No religion,,No,Female,Chinese,Working full time -  employee (30+ hours),
21722,London,Cities of,E14000639,11/07/2017,1,1,3,Voted,46.0,Crime; what's going on; hate crime,Labour,Not very interested,3,6,Yes,London Evening Standard,Yes,No,No,No,"GBP 10,400 - GBP 15,599",Rented from local authority,Islam/Muslim,Once a week or more,No,Male,Arab,Working part time - employee (8-29 hours),
21725,London,Cities of,E14000639,08/07/2017,1,1,2,Voted,37.0,Terrorist attacks,Conservatives,Very interested,5,10 Pay a great deal of attention,No,,No,Yes,No,Yes,"GBP 15,600 - GBP 20,799",Rented from local authority,Islam/Muslim,Never or practically never,No,Female,Bangladeshi,Looking after the family or home,Yes
21726,London,Cities of,E14000639,11/07/2017,1,1,1,Voted,50.0,"immigration;i think it puts alot of pressure on public services; teaching, transport. NHS etc",Conservatives,Very interested,5,9,Yes,Other,No,Yes,No,Yes,"GBP 26,000 - GBP 31,199",Rented from local authority,Roman Catholic,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - self-employed (8-29 hours),
21822,London,Cities of,E14000639,02/09/2017,1,1,2,,82.0,Brexit; its a mess,None/No party,Very interested,7,6,Yes,Times,No,Yes,No,No,"GBP 100,000 or more",Own home outright,Jewish,Less often but at least once a month,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
21916,London,Croydon No,E14000655,29/07/2017,1,1,1,Not voted-registered,57.0,Safety,Labour,Fairly interested,6,4,Yes,Mirror/Record,No,Yes,No,No,"GBP 26,000 - GBP 31,199",Own home outright,Roman Catholic,Less often but at least once in two weeks,No,Male,White and Black Caribbean,Working full time -  employee (30+ hours),
21917,London,Croydon No,E14000655,09/08/2017,1,1,1,Voted,59.0,Racism,Don`t know,Very interested,5,8,No,,No,Yes,No,Yes,"GBP 5,200 - GBP 10,399",Own home on mortgage,Church of England/ Anglican/Episcopal,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Not working because long-term sick or disabled,Yes
21919,London,Croydon No,E14000655,08/08/2017,1,1,2,Ineligible,28.0,Brexit,Labour,Fairly interested,7,3,No,,No,Yes,No,No,"GBP 26,000 - GBP 31,199",Rented from private landlord,Roman Catholic,Once a week or more,No,Male,Refused,Working full time -  employee (30+ hours),
21923,London,Croydon No,E14000655,02/08/2017,1,1,1,,77.0,Frightening times/listening to tv etc frightens me/concerned about groups of young people gathering,Labour,Not very interested,4,3,No,,No,No,No,No,Don`t know,Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
21926,London,Croydon No,E14000655,13/08/2017,1,1,1,Voted,70.0,Infrastructure,Conservatives,Fairly interested,6,8,Yes,Mail,No,Yes,No,Yes,"GBP 20,800 - GBP 25,999",Own home outright,Church of England/ Anglican/Episcopal,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
22015,London,Croydon No,E14000655,29/07/2017,1,1,2,Voted,19.0,Brexit,Conservatives,Very interested,7,9,Yes,Financial Times,No,Yes,Yes,Yes,Don`t know,Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,A full time student or pupil,No
22018,London,Croydon No,E14000655,24/07/2017,1,1,2,Not voted-unregistered,37.0,kids security for the future - media playing too big a role/as a Muslim the atmosphere in this country is getting worse.  Islamaphobia is being spread by the media and the Government,None/No party,Not at all interested,5,5,No,,No,Yes,No,No,"GBP 10,400 - GBP 15,599",Rented from private landlord,Islam/Muslim,Once a week or more,No,Male,Pakistani,Working full time - self-employed (30+ hours),
22023,London,Croydon No,E14000655,11/08/2017,1,1,1,,60.0,EU immigration,Conservatives,Not at all interested,8,4,No,,No,Yes,No,Yes,"GBP 10,400 - GBP 15,599",Rented from private landlord,Other Protestant,Once a week or more,No,Female,African,Working part time - employee (8-29 hours),
22026,London,Croydon No,E14000655,24/07/2017,1,1,1,Not voted-registered,59.0,worries about pension age/benefits/.  Immigration/  Accessibility to a doctor at any time,Don`t know,Not very interested,5,4,No,,Yes,Yes,No,Yes,"Under GBP 2,600",Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Not working because long-term sick or disabled,Yes
22316,London,Dulwich an,E14000673,11/09/2017,1,1,3,Voted,67.0,employment,Labour,Fairly interested,1,5,No,,Yes,Yes,No,No,"GBP 36,400 - GBP 39,999",Rented from local authority,Christian - no denomination,Never or practically never,No,Female,Refused,None of these,Yes
22319,London,Dulwich an,E14000673,04/08/2017,1,1,2,Voted,40.0,The uncertainty of Brexit needs to get smoothed as soon as possible.,Labour,Fairly interested,2,8,Yes,Guardian/Observer,No,No,Yes,No,"GBP 100,000 or more",Own home on mortgage,Roman Catholic,Once a week or more,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
